title,locality,price,object_status,image,url
Prodej bytu 5+kk 124 m²,"Polevsko, okres Česká Lípa",4084000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QQ_Lg/XcHPmp.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/1686463564
Prodej bytu 1+kk 57 m²,Praha 4 - Libuš,5673000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QP_LH/xmFL6B.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/972481868
Prodej bytu 2+kk 48 m²,"Olomouc - Hodolany, okres Olomouc",3619000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QQ_Lq/lVJXbH.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/1279247692
Prodej bytu 3+kk 118 m²,"Přerov - Přerov I-Město, okres Přerov",4867000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QP_LI/V1fsBc.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/2508928332
Prodej bytu 1+1 39 m²,"Teplice nad Bečvou, okres Přerov",1974000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QN_KE/wZkijP.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3652793676
Prodej bytu 1+kk 24 m²,Praha 10 - Hostivař,3960000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QI_Jn/7nDBUTO.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/4034385228
Prodej bytu 1+kk 36 m²,"Slapy, okres Praha-západ",3402000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QK_Jt/Yd45Ju.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3991610700
Prodej bytu 3+kk 108 m²,"Brno - Ponava, okres Brno-město",14172000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QR_MK/CFSBzY3.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3085304908
Prodej bytu 4+kk 167 m²,"Brno - Štýřice, okres Brno-město",18041000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_gT_2/WthCUH.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/2497045836
Prodej bytu 3+1 77 m²,"Česká Ves, okres Jeseník",2836000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QN_KE/62lDQF.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3333920076
Prodej bytu 3+kk 80 m²,"Brno - Staré Brno, okres Brno-město",12708000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_gV_1/uMOG0v.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/504640844
Prodej bytu 2+1 72 m²,Jablonec nad Nisou,3619000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QK_Jt/CwR5Ji.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3270190412
Prodej bytu 2+1 62 m²,Praha 4 - Záběhlice,7591000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QN_KE/iFI04X.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3918316876
Prodej bytu 3+kk 68 m²,"Písek - Hradiště, okres Písek",3801000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QN_KE/ZDWUz5.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/1799959884
